dataset,lstm_rmse,gru_rmse,lstm_mae,gru_mae,lstm_r2,gru_r2
FD001,16.253702064777332,15.740364639343403,12.386356353759766,10.707016944885254,0.7003872394561768,0.7190136909484863
FD002,16.826027572110473,16.579537779987923,11.809073448181152,12.042957305908203,0.7048786878585815,0.7134619951248169
FD003,14.767359975780941,13.116918200965511,11.170042037963867,8.348417282104492,0.6905595064163208,0.7558622360229492
FD004,16.016372886501273,15.618094177032493,10.389908790588379,10.34335994720459,0.6564527750015259,0.6733262538909912
